[6969,1839] [14016,3092]
[14012,3912] [12968,8065]
[12032,8917] [3927,11029]
[12981,8939] [21047,16044]
[21962,16982] [26141,23077]
[26923,23902] [30062,26053]
[30989,26990] [32115,32010]
[32019,32841] [27857,36069]
[27020,36184] [22993,33947]
[27031,36999] [23996,41006]
[23004,41240] [20989,40770]
[20091,40024] [16946,35981]
[26896,23002] [33184,15973]
[33008,15008] [31883,8978]
[31954,8015] [34101,994]
[32882,32977] [40005,42032]
[40924,42040] [44002,39958]
[44985,39095] [49005,37961]
[49851,37970] [52122,43026]
[52978,43006] [56008,40988]
[52019,43959] [50914,50042]
[56921,40042] [59002,32966]
[59990,32004] [60049,26950]
[60152,26022] [58942,18979]
[58013,18078] [54915,10970]
[54011,10257] [45956,9874]
[45964,9012] [46003,5990]
[60941,26039] [69015,24825]
[69969,24006] [72007,22850]
[72995,22103] [74031,20982]
[72943,22934] [76011,29009]
[76191,29962] [75939,33020]
[76976,29144] [81055,27759]
[81992,27033] [83251,22988]
[75012,33898] [71933,38023]
[81973,27892] [87001,29079]
[56919,40946] [64046,48053]
[64984,48778] [70001,50116]
[70964,50887] [78045,58073]
[78958,58216] [84023,54987]
[84912,54100] [85097,53988]
[78063,58983] [73978,64014]
[85940,53031] [93134,48947]
[93839,48945] [94223,50005]
[93968,48016] [95065,42991]
[95007,42661] [90993,42833]
[73065,64929] [63982,68042]
[63085,68042] [62777,64997]
[62029,64752] [55937,67009]
[55006,67947] [53978,68294]
[63858,68931] [66013,76025]
[66858,76998] [68271,84013]
[68002,84888] [65995,87066]
[65033,87937] [61866,91001]
[61116,91007] [57979,87986]
[57043,87057] [51927,84959]
[51010,84304] [48986,83912]
[61982,91909] [67004,99071]
[49210,37029] [47869,26976]
[47011,26026] [43933,24993]
[87984,29015] [96005,21979]
[96888,21841] [99074,25118]
[96889,21010] [97161,12997]
[97883,12002] [98133,3990]
[98001,3667] [91999,4222]
[91080,4005] [89929,2886]
[91019,4998] [88940,6076]
[88005,6027] [77987,6084]
[48001,83986] [36997,83791]
[36002,83016] [29964,78970]
[29051,78018] [24933,72953]
[36807,83992] [38115,92043]
[38005,92998] [35992,94049]
[35001,94176] [28985,93998]
[28022,93828] [18971,95027]
[18014,95007] [15910,88990]
[15048,88932] [7956,91158]
[7102,91083] [1993,89826]
[1290,89974] [998,91074]
[24056,72140] [13999,68898]
[13012,68020] [11952,60970]
[11004,60045] [10983,59885]
[10193,59117] [9983,58987]
[9054,58972] [8935,60043]
[11953,60007] [17061,57908]
[17994,57045] [19013,56836]
[19989,56453] [25009,55984]
[9004,58101] [2998,53905]
[2946,53056] [5015,45974]
[53006,68113] [41985,67924]
[41973,67056] [42245,62999]
[42135,62040] [39784,58965]
[39054,58931] [37953,59148]
[67999,99039] [79011,96862]
[79996,96835] [80008,96801]
[80988,96032] [86001,90945]
[86025,90050] [82985,85981]
[86973,90151] [92008,82966]
[16010,35077] [4990,30873]
